make,year,vehicle_numbers,vehicle_percentage_of_total
TALBOT,2022,5777,0.01%
DAIMLER,2022,5758,0.01%
MERLO,2018,5749,0.01%
SUNBEAM,2022,5744,0.01%
DAIMLER,2020,5734,0.01%
SUNBEAM,2021,5708,0.01%
CHEVROLET GMC,2022,5681,0.01%
LEVC,2021,5647,0.01%
LEYLAND DAF,2018,5626,0.01%
SUNBEAM,2020,5619,0.01%
SUNBEAM,2019,5613,0.01%
CHEVROLET GMC,2021,5601,0.01%
MCC,2019,5556,0.01%
SUNBEAM,2018,5521,0.01%
MCCORMICK,2018,5517,0.01%
CHEVROLET GMC,2019,5501,0.01%
MCCORMICK,2021,5460,0.01%
MCCORMICK,2020,5459,0.01%
MCCORMICK,2019,5441,0.01%
CHEVROLET GMC,2020,5422,0.01%
HUSQVARNA,2020,5417,0.01%
CHEVROLET GMC,2018,5414,0.01%
VALTRA,2020,5414,0.01%
MCCORMICK,2022,5398,0.01%
TVR,2018,5380,0.01%
TVR,2019,5270,0.01%
TVR,2021,5053,0.01%
SINNIS,2020,4999,0.01%
VALTRA,2019,4978,0.01%
TVR,2020,4947,0.01%
LEYLAND DAF,2019,4929,0.01%
POLESTAR,2021,4921,0.01%
TVR,2022,4850,0.01%
ZETOR,2018,4842,0.01%
LEYLAND,2018,4792,0.01%
PROTON,2020,4769,0.01%
OPTARE,2018,4759,0.01%
HUSQVARNA,2019,4700,0.01%
MCC,2020,4698,0.01%
ZETOR,2019,4668,0.01%
BENELLI,2021,4638,0.01%
LEYLAND,2019,4617,0.01%
ZETOR,2021,4607,0.01%
ZETOR,2020,4563,0.01%
KEEWAY,2019,4547,0.01%
ZETOR,2022,4526,0.01%
RILEY,2022,4508,0.01%
RILEY,2021,4502,0.01%
RILEY,2019,4501,0.01%
OPTARE,2019,4493,0.01%
RILEY,2018,4485,0.01%
MATCHLESS,2021,4479,0.01%
RILEY,2020,4468,0.01%
MATCHLESS,2022,4447,0.01%
LAMBORGHINI,2022,4434,0.01%
VALTRA,2018,4428,0.01%
MATCHLESS,2020,4411,0.01%
MATCHLESS,2018,4391,0.01%
WRIGHTBUS,2022,4388,0.01%
MATCHLESS,2019,4382,0.01%
PERODUA,2018,4356,0.01%
KEEWAY,2018,4353,0.01%
RELIANT,2018,4309,0.01%
RELIANT,2019,4294,0.01%
